Field Activity Number,Dam Condition,Date Collected,Site Name,Latitude,Longitude,Replicate,Phosphate concentration,Nitrate + Nitrite concentration,Ammonium concentration ,Salinity,Temperature,Turbidity,Dissolved oxygen,% Dissolved oxygen,pH
NA,Before removal,6/22/06,ES1,48.147,-123.5635,1,0.03,0.10,0.16,0.03,11.43,NS,9.25,84.5,7.38
NA,Before removal,6/22/06,ES2,48.14827,-123.56162,1,0.09,0.21,0.35,0.03,11.20,NS,9.42,85.0,7.08
NA,Before removal,7/20/06,ES1,48.147,-123.5635,1,0.04,0.08,0.03,0.42,15.72,1.2,9.24,93.0,7.37
NA,Before removal,7/20/06,ES2,48.14827,-123.56162,1,0.08,0.65,1.15,0.54,14.23,11.6,9.51,92.5,7.29
NA,Before removal,8/31/06,ES1,48.147,-123.5635,1,0.09,0.34,0.24,0.35,14.84,1.1,10.73,106.3,7.61
NA,Before removal,8/31/06,ES2,48.14827,-123.56162,1,0.06,0.04,0.25,0.14,14.32,3.4,9.24,90.1,7.13
NA,Before removal,9/29/06,ES1,48.147,-123.5635,1,0.05,0.25,0.21,0.96,12.36,101.1,8.86,83.5,7.09
NA,Before removal,9/29/06,ES2,48.14827,-123.56162,1,0.07,0.18,0.22,1.78,13.84,0.3,9.00,88.8,6.94
NA,Before removal,10/24/06,ES1,48.147,-123.5635,1,0.12,0.46,0.19,3.28,10.55,1.4,12.01,110.3,7.13
NA,Before removal,10/24/06,ES2,48.14827,-123.56162,1,0.16,1.95,2.48,4.55,9.97,4.1,11.43,108.5,6.89
NA,Before removal,3/23/07,ES2,48.14827,-123.56162,1,0.24,3.17,4.78,0.05,8.50,21.1,10.97,93.6,7.03
NA,Before removal,4/18/07,ES1,48.147,-123.5635,1,0.11,0.73,1.28,3.00,7.71,15.7,12.10,102.3,NS
NA,Before removal,4/18/07,ES2,48.14827,-123.56162,1,0.15,1.28,2.26,3.43,8.42,34.5,11.23,97.6,NS
NA,Before removal,5/31/07,ES1,48.147,-123.5635,1,0.10,0.19,1.06,0.15,10.04,6.5,10.46,92.6,6.30
NA,Before removal,5/31/07,ES2,48.14827,-123.56162,1,0.09,0.25,0.33,0.05,10.00,1.3,10.90,97.4,6.92
NA,Before removal,6/28/07,ES1,48.147,-123.5635,1,0.06,0.05,0.96,0.19,12.23,0.5,9.71,90.5,7.32
NA,Before removal,6/28/07,ES2,48.14827,-123.56162,1,0.04,0.08,0.82,0.11,11.85,12.2,10.40,95.5,7.01
NA,Before removal,8/8/07,ES1,48.147,-123.5635,1,0.03,0.09,3.84,0.14,16.54,1.5,12.12,123.7,6.74
NA,Before removal,8/8/07,ES2,48.14827,-123.56162,1,0.12,0.37,1.75,0.05,13.83,15.6,9.77,94.2,6.54
NA,Before removal,8/30/07,ES1,48.147,-123.5635,1,0.07,0.07,0.91,1.99,14.02,11.4,10.14,99.1,7.22
NA,Before removal,8/30/07,ES2,48.14827,-123.56162,1,0.06,0.07,0.31,1.92,13.89,4.5,10.52,103.1,6.93
L-15-13-PS,During removal,6/28/13,ES1,48.147,-123.5635,1,0.25,2.72,4.52,0.02,11.72,254.4,9.82,90.6,7.16
L-15-13-PS,During removal,6/28/13,ES1,48.147,-123.5635,2,0.24,2.10,5.00,0.02,11.72,254.4,9.82,90.6,7.16
L-15-13-PS,During removal,6/28/13,ES1,48.147,-123.5635,3,0.22,2.50,5.28,0.02,11.72,254.4,9.82,90.6,7.16
L-15-13-PS,During removal,6/28/13,IEC,48.1479,-123.56347,1,0.49,2.08,7.18,0.02,10.83,276.4,10.23,92.4,7.18
L-15-13-PS,During removal,6/28/13,IEC,48.147,-123.5635,2,0.26,2.23,8.58,0.02,10.83,298.5,10.65,94.2,7.18
L-15-13-PS,During removal,6/28/13,IEC,48.147,-123.5635,3,0.45,1.83,3.47,0.02,10.83,298.5,10.65,94.2,7.18
L-15-13-PS,During removal,6/28/13,ES2,48.14827,-123.56162,1,0.27,2.00,3.44,0.02,9.94,298.5,10.65,94.2,7.21
L-15-13-PS,During removal,6/28/13,ES2,48.14827,-123.56162,2,0.23,3.09,12.40,0.02,9.94,298.5,10.65,94.2,7.21
L-15-13-PS,During removal,6/28/13,ES2,48.14827,-123.56162,3,0.22,2.31,4.33,0.02,9.94,298.5,10.65,94.2,7.21
L-15-13-PS,During removal,6/28/13,WESC1,48.14598,-123.56768,1,0.28,2.41,4.79,0.02,10.15,242.4,10.04,89.3,7.23
L-15-13-PS,During removal,6/28/13,WESC1,48.14598,-123.56768,2,0.28,2.74,11.40,0.02,10.15,242.4,10.04,89.3,7.23
L-15-13-PS,During removal,6/28/13,WESC1,48.14598,-123.56768,3,0.28,2.48,7.97,0.02,10.15,242.4,10.04,89.3,7.23
L-15-13-PS,During removal,6/28/13,WESC2,48.1451,-123.56723,1,0.23,2.25,4.63,0.02,9.65,233.4,10.09,88.7,7.21
L-15-13-PS,During removal,6/28/13,WESC2,48.1451,-123.56723,2,0.29,2.27,8.41,0.02,9.65,233.4,10.09,88.7,7.21
L-15-13-PS,During removal,6/28/13,WESC2,48.1451,-123.56723,3,0.21,2.12,4.58,0.02,9.65,233.4,10.09,88.7,7.21
L-24-13-PS,During removal,7/23/13,ES1,48.147,-123.5635,1,0.21,0.58,4.06,0.08,20.98,48.6,7.66,86.1,8.05
L-24-13-PS,During removal,7/23/13,ES1,48.147,-123.5635,2,0.17,0.56,0.45,0.08,20.98,48.6,7.66,86.1,8.05
L-24-13-PS,During removal,7/23/13,ES1,48.147,-123.5635,3,0.24,0.53,0.47,0.08,20.98,48.6,7.66,86.1,8.05
L-24-13-PS,During removal,7/23/13,IEC,48.1479,-123.56347,1,0.18,0.26,1.24,0.09,18.69,305.6,6.58,70.5,7.52
L-24-13-PS,During removal,7/23/13,IEC,48.147,-123.5635,2,0.19,0.27,1.71,0.09,18.69,305.6,6.58,70.5,7.52
L-24-13-PS,During removal,7/23/13,IEC,48.147,-123.5635,3,0.24,0.25,0.98,0.09,18.69,305.6,6.58,70.5,7.52
L-24-13-PS,During removal,7/23/13,ES2,48.14827,-123.56162,1,0.17,0.41,2.10,0.09,18.04,28.1,7.27,76.5,7.85
L-24-13-PS,During removal,7/23/13,ES2,48.14827,-123.56162,2,0.18,0.49,1.06,0.09,18.04,28.1,7.27,76.5,7.85
L-24-13-PS,During removal,7/23/13,ES2,48.14827,-123.56162,3,0.17,0.30,0.70,0.09,18.04,28.1,7.27,76.5,7.85
L-24-13-PS,During removal,7/23/13,WESC1,48.14598,-123.56768,1,0.20,0.24,0.58,0.05,16.56,94.5,8.57,89.2,7.84
L-24-13-PS,During removal,7/23/13,WESC1,48.14598,-123.56768,2,0.18,0.29,3.72,0.05,16.56,94.5,8.57,89.2,7.84
L-24-13-PS,During removal,7/23/13,WESC1,48.14598,-123.56768,3,0.17,0.26,1.47,0.05,16.56,94.5,8.57,89.2,7.84
L-24-13-PS,During removal,7/23/13,WESC2,48.1451,-123.56723,1,0.29,1.21,0.88,0.05,14.80,82.8,9.70,76.0,6.83
L-24-13-PS,During removal,7/23/13,WESC2,48.1451,-123.56723,2,0.21,0.99,0.89,0.05,14.80,82.8,9.70,76.0,6.83
L-24-13-PS,During removal,7/23/13,WESC2,48.1451,-123.56723,3,0.23,1.04,1.95,0.05,14.80,82.8,9.70,76.0,6.83
T-R5-13-PS,During removal,8/22/13,ES1,48.147,-123.5635,1,0.18,1.44,0.71,0.10,15.51,73.9,11.88,123.1,7.35
T-R5-13-PS,During removal,8/22/13,ES1,48.147,-123.5635,2,0.19,0.89,4.62,0.10,15.51,73.9,11.88,123.1,7.35
T-R5-13-PS,During removal,8/22/13,ES1,48.147,-123.5635,3,0.21,1.33,0.88,0.10,15.51,73.9,11.88,123.1,7.35
T-R5-13-PS,During removal,8/22/13,IEC,48.1479,-123.56347,1,0.27,0.78,0.87,0.10,16.73,57.2,13.20,140.1,8.00
T-R5-13-PS,During removal,8/22/13,IEC,48.147,-123.5635,2,0.15,1.08,3.66,0.10,16.73,57.2,13.20,140.1,8.00
T-R5-13-PS,During removal,8/22/13,IEC,48.147,-123.5635,3,0.16,1.22,3.56,0.10,16.73,57.2,13.20,140.1,8.00
T-R5-13-PS,During removal,8/22/13,ES2,48.14827,-123.56162,1,0.14,0.56,13.10,0.10,17.33,50.7,12.38,133.0,7.46
T-R5-13-PS,During removal,8/22/13,ES2,48.14827,-123.56162,2,0.14,0.42,2.62,0.10,17.33,50.7,12.38,133.0,7.46
T-R5-13-PS,During removal,8/22/13,ES2,48.14827,-123.56162,3,0.16,0.52,2.16,0.10,17.33,50.7,12.38,133.0,7.46
T-R5-13-PS,During removal,8/22/13,WESC1,48.14598,-123.56768,1,0.20,0.14,0.81,0.10,17.79,53.0,11.04,119.8,7.35
T-R5-13-PS,During removal,8/22/13,WESC1,48.14598,-123.56768,2,0.22,0.32,0.87,0.10,17.79,53.0,11.04,119.8,7.35
T-R5-13-PS,During removal,8/22/13,WESC1,48.14598,-123.56768,3,NS,NS,NS,NS,NS,NS,NS,NS,NS
T-R5-13-PS,During removal,8/22/13,WESC1,48.14598,-123.56768,4,0.18,0.52,1.94,0.10,17.93,50.1,13.72,149.2,7.81
T-R5-13-PS,During removal,8/22/13,WESC1,48.14598,-123.56768,5,0.14,0.49,3.78,0.10,17.93,50.1,13.72,149.2,7.81
T-R5-13-PS,During removal,8/22/13,WESC1,48.14598,-123.56768,6,0.16,0.53,5.53,0.10,17.93,50.1,13.72,149.2,7.81
T-R5-13-PS,During removal,8/22/13,WESC2,48.1451,-123.56723,1,0.36,0.78,1.73,0.10,16.81,93.1,8.69,92.4,7.52
T-R5-13-PS,During removal,8/22/13,WESC2,48.1451,-123.56723,2,0.34,0.71,0.79,0.10,16.81,93.1,8.69,92.4,7.52
T-R5-13-PS,During removal,8/22/13,WESC2,48.1451,-123.56723,3,0.21,0.84,4.98,0.10,16.81,93.1,8.69,92.4,7.52
T-R6-13-PS,During removal,10/24/13,IEC,48.1479,-123.56347,1,0.23,0.55,3.68,0.10,10.65,91.6,8.20,76.2,7.02
T-R6-13-PS,During removal,10/24/13,IEC,48.147,-123.5635,2,0.19,0.31,2.18,0.10,10.65,91.6,8.20,76.2,7.02
T-R6-13-PS,During removal,10/24/13,IEC,48.147,-123.5635,3,0.19,0.31,1.33,0.10,10.65,91.6,8.20,76.2,7.02
T-R6-13-PS,During removal,10/24/13,ES2,48.14827,-123.56162,1,0.30,0.25,1.83,0.10,9.94,96.3,6.98,63.8,6.41
T-R6-13-PS,During removal,10/24/13,ES2,48.14827,-123.56162,2,0.23,0.65,5.93,0.10,9.94,96.3,6.98,63.8,6.41
T-R6-13-PS,During removal,10/24/13,ES2,48.14827,-123.56162,3,0.17,0.68,4.59,0.10,9.94,96.3,6.98,63.8,6.41
T-R6-13-PS,During removal,10/24/13,WESC1,48.14598,-123.56768,1,0.29,0.70,1.76,0.1,8.96,70.3,13.8,123.3,7.06
T-R6-13-PS,During removal,10/24/13,WESC1,48.14598,-123.56768,2,0.22,0.34,2.37,0.1,8.96,70.3,13.8,123.3,7.06
T-R6-13-PS,During removal,10/24/13,WESC1,48.14598,-123.56768,3,NS,NS,NS,NS,NS,NS,NS,NS,NS
T-RA-14-PS,During removal,3/9/14,IEC,48.1479,-123.56347,1,0.29,7.19,31.30,0.05,11.75,9.6,7.50,75.0,7.47
T-RA-14-PS,During removal,3/9/14,IEC,48.147,-123.5635,2,0.23,6.58,15.60,0.05,11.75,9.6,7.50,75.0,7.47
T-RA-14-PS,During removal,3/9/14,IEC,48.147,-123.5635,3,0.20,7.00,22.10,0.05,11.75,9.6,7.50,75.0,7.47
T-RA-14-PS,During removal,3/9/14,ES2,48.14827,-123.56162,1,0.27,6.00,28.29,0.05,11.75,9.6,7.50,75.0,7.47
T-RA-14-PS,During removal,3/9/14,ES2,48.14827,-123.56162,2,0.38,6.59,25.76,0.05,11.75,9.6,7.50,75.0,7.47
T-RA-14-PS,During removal,3/9/14,ES2,48.14827,-123.56162,3,0.27,6.31,26.52,0.05,11.75,9.6,7.50,75.0,7.47
T-RA-14-PS,During removal,3/9/14,WESC1,48.14598,-123.56768,1,0.30,17.37,23.20,0.07,5.79,NS,10.92,86.60,7.30
T-RA-14-PS,During removal,3/9/14,WESC1,48.14598,-123.56768,2,0.30,17.49,26.35,0.07,5.79,NS,10.92,86.60,7.30
T-RA-14-PS,During removal,3/9/14,WESC1,48.14598,-123.56768,3,0.29,16.30,20.83,0.07,5.79,NS,10.92,86.60,7.30
T-RA-14-PS,During removal,3/9/14,WESC2,48.1451,-123.56723,1,0.55,14.54,29.49,0.07,5.79,NS,10.92,86.60,7.30
T-RA-14-PS,During removal,3/9/14,WESC2,48.1451,-123.56723,2,0.23,15.15,33.19,0.07,5.79,NS,10.92,86.60,7.30
T-RA-14-PS,During removal,3/9/14,WESC2,48.1451,-123.56723,3,0.28,14.31,24.15,0.07,5.79,NS,10.92,86.60,7.30
2014-614-FA,During removal,4/26/14,IEC,48.1479,-123.56347,1,0.11,1.71,1.80,0.03,11.79,7.5,7.37,66.5,7.20
2014-614-FA,During removal,4/26/14,IEC,48.1479,-123.56347,2,0.13,1.47,4.27,0.03,11.79,7.5,7.37,66.5,7.20
2014-614-FA,During removal,4/26/14,IEC,48.1479,-123.56347,3,0.11,1.90,5.11,0.03,11.79,7.5,7.37,66.5,7.20
2014-614-FA,During removal,4/26/14,ES2,48.14827,-123.56162,1,0.14,2.04,2.33,0.03,11.79,7.5,7.37,66.5,7.20
2014-614-FA,During removal,4/26/14,ES2,48.14827,-123.56162,2,0.13,3.39,9.62,0.03,11.79,7.5,7.37,66.5,7.20
2014-614-FA,During removal,4/26/14,ES2,48.14827,-123.56162,3,0.08,3.22,6.03,0.03,11.79,7.5,7.37,66.5,7.20
2014-614-FA,During removal,4/26/14,WESC1,48.14598,-123.56768,1,0.12,1.53,34.40,0.05,12.04,6.7,NS,NS,NS
2014-614-FA,During removal,4/26/14,WESC1,48.14598,-123.56768,2,0.14,0.77,7.59,0.05,12.04,6.7,NS,NS,NS
2014-614-FA,During removal,4/26/14,WESC1,48.14598,-123.56768,3,0.14,1.61,25.50,0.05,12.04,6.7,NS,NS,NS
2014-614-FA,During removal,4/26/14,WESC2,48.1451,-123.56723,1,0.14,1.66,52.80,0.05,12.04,6.7,NS,NS,NS
