Day,Daily Discharge (m3/s),Daily SSC (mg/L),Upper SSC bound (+1SD),Lower SSC bound (-1SD),Ave fraction fines (based on two turbidimeters),Daily Suspended-Sediment Load (tonnes),Daily SS Load of fines (tonnes),Daily SS Load of sand (tonnes),Remarks,Daily Total gauged > 2-mm bedload (tonnes),Daily gauged bedload for 2-16mm particles (tonnes ),Daily gauged bedload for >16mm particles (tonnes ),Estimated daily ungauged bedload (tonnes),Total sediment discharge (tonnes),Release period,Project year
08/26/2015,6.330321507,0.456846032,0.579655361,0.360055838,0.778997736,0.3,0.2,0.1,NA,0.001180505,0.000903086,0.000277419,0.098819495,0.4,NA ,proj year 4
08/27/2015,6.364382623,0.447203169,0.567420304,0.352455971,0.778809806,0.2,0.2,0,NA,0.001219357,0.000932808,0.000286549,0.065447309,0.266666667,NA ,proj year 4
08/25/2015,6.373213283,0.439435673,0.55756475,0.346334144,0.779773362,0.2,0.2,0,NA,0.001215889,0.000930155,0.000285734,0.065450778,0.266666667,NA ,proj year 4
08/24/2015,6.616056426,0.515631346,0.65424334,0.406386536,0.776096247,0.3,0.2,0.1,NA,0.001452193,0.001110928,0.000341265,0.098547807,0.4,NA ,proj year 4
08/23/2015,6.664940435,0.507807384,0.644316141,0.400220206,0.7763189,0.3,0.2,0.1,NA,0.001509212,0.001154547,0.000354665,0.098490788,0.4,NA ,proj year 4
08/22/2015,6.693640079,0.529777615,0.67219241,0.41753569,0.775692834,0.3,0.2,0.1,NA,0.001536467,0.001175397,0.00036107,0.098463533,0.4,NA ,proj year 4
10/10/2014,6.758080058,45.40730344,57.61369267,35.78703447,0.688399921,26.6,18.3,8.3,NA,0.156349867,0.119607648,0.036742219,8.7103168,35.46666667,NA ,proj year 4
08/21/2015,7.008074642,0.642320248,0.814988747,0.506234352,0.771370959,0.4,0.3,0.1,NA,0.001914324,0.001464458,0.000449866,0.13141901,0.533333333,NA ,proj year 4
10/09/2014,7.050241461,48.90546203,62.05222609,38.54405179,0.686647649,29.8,20.5,9.3,NA,0.008127097,0.006217229,0.001909868,9.925206236,39.73333333,NA ,proj year 4
08/17/2015,7.196987684,0.548867713,0.696414306,0.432581243,0.774536551,0.3,0.3,0,NA,0.002197969,0.001681446,0.000516523,0.097802031,0.4,NA ,proj year 4
09/15/2014,7.229445449,7.107046311,9.017562175,5.60130402,0.722088753,4.4,3.2,1.2,NA,0.054634336,0.041795267,0.012839069,1.412032331,5.866666667,NA ,proj year 3
09/16/2014,7.251167967,7.934047011,10.06687716,6.253091295,0.720260522,5,3.6,1.4,NA,0.05172429,0.039569082,0.012155208,1.614942377,6.666666667,NA ,proj year 3
08/16/2015,7.288763469,0.525168022,0.666343665,0.413902713,0.775783377,0.3,0.3,0,NA,0.002318107,0.001773352,0.000544755,0.097681893,0.4,NA ,proj year 4
09/14/2014,7.299724182,6.325112713,8.025429224,4.985035657,0.726068715,4,2.9,1.1,NA,0.379515992,0.290329734,0.089186258,0.953817341,5.333333333,NA ,proj year 3
08/18/2015,7.312417022,0.618198248,0.784382273,0.487222987,0.771949154,0.4,0.3,0.1,NA,0.002372978,0.001815329,0.00055765,0.130960355,0.533333333,NA ,proj year 4
08/20/2015,7.397254432,0.974132894,1.235999254,0.767747143,0.76298774,0.6,0.5,0.1,NA,0.002452928,0.00187649,0.000576438,0.197547072,0.8,NA ,proj year 4
10/06/2015,7.422283376,0.227466085,0.288613508,0.17927373,0.792158003,0.1,0.1,0,NA,NA,NA,NA,NA,0.1,NA ,proj year 5
09/13/2014,7.445712277,9.556293033,12.12521529,7.531638355,0.714518908,6.1,4.4,1.7,NA,0.068027189,0.052040799,0.015986389,1.965306145,8.133333333,NA ,proj year 3
08/19/2015,7.458122908,0.704537095,0.893930725,0.555269558,0.769308787,0.5,0.4,0.1,NA,0.002595459,0.001985526,0.000609933,0.164071207,0.666666667,NA ,proj year 4
10/05/2015,7.508453692,0.252353193,0.320190766,0.198888102,0.789561162,0.2,0.1,0.1,NA,NA,NA,NA,NA,0.2,NA ,proj year 5
