Date,Dam condition,Site,Replicate,Acarina,Amphipoda,Araneae,Coleoptera,Collembola,Cyclopodia,Diptera,Gastropoda,Harpacticoida,Hemiptera,Hirudinea,Hymenoptera,Megaloptera,Nematoda,Odonata,Oligochaeta,Ostracoda,Psocoptera,Thysanoptera,Trichoptera
5/17/2007,Before,ES1,1,0,73,0,0,0,0,18,0,0,0,0,0,0,0,0,5,0,0,0,0
5/17/2007,Before,ES1,2,0,249,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0
5/17/2007,Before,ES1,3,0,20,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0
5/17/2007,Before,ES2,1,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
5/17/2007,Before,ES2,2,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,3,1,0,0,0
5/17/2007,Before,ES2,3,2,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1
5/17/2007,Before,ES2,4,0,43,1,0,0,0,39,0,0,0,0,0,0,0,0,1,0,0,0,1
5/17/2007,Before,ES2,5,3,42,0,0,0,0,89,0,0,0,0,0,0,0,1,4,2,0,0,0
5/17/2007,Before,ES2,6,0,5,0,0,0,0,34,0,0,0,0,0,0,0,0,1,24,0,0,0
5/17/2007,Before,ES2,7,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
5/17/2007,Before,ES2,8,1,0,0,0,0,0,22,0,0,0,0,0,0,0,0,5,25,0,0,0
5/17/2007,Before,IEC,1,0,129,0,0,0,0,25,0,0,0,0,0,0,0,0,3,0,0,0,2
5/17/2007,Before,IEC,2,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0
5/17/2007,Before,WESC,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,164,0,0,0,2
5/17/2007,Before,WESC,2,0,0,0,0,0,0,120,1,0,0,0,0,0,0,5,1,0,0,0,0
