Latitude,Longitude,SET number,Date measured,Average distance,Change
48.14555,-123.56693,1,8/11/11,678.5,NA
48.14528,-123.56615,2,8/11/11,634.5,NA
48.1452,-123.5657,3,8/11/11,588.2,NA
48.14522,-123.56522,4,8/11/11,630.9,NA
48.1472,-123.56337,5,8/11/11,786.9,NA
48.14697,-123.56284,6,8/11/11,643,NA
48.1475,-123.56246,7,8/11/11,647.5,NA
48.14701,-123.56172,8,8/11/11,637.6,NA
48.14791,-123.56205,9,8/11/11,NS,NA
48.14775,-123.56158,10,8/11/11,839.3,NA
48.14713,-123.56083,11,8/11/11,789.1,NA
48.14668,-123.56033,12,8/11/11,796.5,NA
48.14654,-123.55931,13,8/11/11,978.7,NA
48.14798,-123.5607,14,8/11/11,NS,NA
48.149,-123.55718,15,8/11/11,NS,NA
48.14555,-123.56693,1,10/11/11,679.9,-1.4
48.14528,-123.56615,2,10/11/11,599.5,35.1
48.1452,-123.5657,3,10/11/11,591.8,-3.6
48.14522,-123.56522,4,10/11/11,617.8,13.1
48.1472,-123.56337,5,10/11/11,788.5,-1.6
48.14697,-123.56284,6,10/11/11,640.4,2.6
48.1475,-123.56246,7,10/11/11,653.6,-6
48.14701,-123.56172,8,10/11/11,662.8,-25.3
48.14791,-123.56205,9,10/11/11,826.9,NA
48.14775,-123.56158,10,10/11/11,836.9,2.4
48.14713,-123.56083,11,10/11/11,789,0
48.14668,-123.56033,12,10/11/11,780.6,15.9
48.14654,-123.55931,13,10/11/11,969.8,8.9
48.14798,-123.5607,14,10/11/11,667,NA
48.149,-123.55718,15,10/11/11,765,NA
48.14555,-123.56693,1,12/12/11,693.6,-13.7
48.14528,-123.56615,2,12/12/11,563.9,35.6
48.1452,-123.5657,3,12/12/11,590,1.8
48.14522,-123.56522,4,12/12/11,622.4,-4.6
48.1472,-123.56337,5,12/12/11,789.8,-1.3
48.14697,-123.56284,6,12/12/11,654.8,-14.3
48.1475,-123.56246,7,12/12/11,648.8,4.7
48.14701,-123.56172,8,12/12/11,641.8,21
48.14791,-123.56205,9,12/12/11,527.6,299.3
48.14775,-123.56158,10,12/12/11,833.5,3.5
48.14713,-123.56083,11,12/12/11,785.4,3.6
48.14668,-123.56033,12,12/12/11,783,-2.4
48.14654,-123.55931,13,12/12/11,965.7,4.1
48.14798,-123.5607,14,12/12/11,679.9,-12.9
48.149,-123.55718,15,12/12/11,760.3,4.8
48.14555,-123.56693,1,3/8/12,675.1,18.6
48.14528,-123.56615,2,3/8/12,551.1,12.8
48.1452,-123.5657,3,3/8/12,589,1.1
48.14522,-123.56522,4,3/8/12,621.3,1.1
48.1472,-123.56337,5,3/8/12,810.9,-21.1
