Site_Name,Site_ID,Latitude,Longitude,ReachHigh,ReachMed,MeasHigh,MeasMed,SmdateHigh,Comid,Site_Type,Target,Sample_Occn,Sample_month,Sample_yr,A1,A2,A3,B1,B2,B3,C1,C2,C3
Elwha Road,Elwha_eDNA_1,48.14421600000,-123.56214100000,17110020006166,17110020000547,54.70,80.00,20120225,23998236,Mainstem,Brook Trout,1,August,2014,0,0,0,0,0,0,0,0,0
Bike Bridge,Elwha_eDNA_2,48.11377100000,-123.55374800000,17110020000020,17110020000020,9.29,10.35,20010416,23997046,Mainstem,Brook Trout,1,August,2014,0,0,0,0,0,0,0,0,0
Aldwell Reservoir,Elwha_eDNA_3,48.06826522130,-123.57880666100,17110020003130,17110020000025,78.46,4.79,20150105,23997064,Mainstem,Brook Trout,1,August,2014,0,0,0,0,0,0,0,0,0
Indian Creek,Elwha_eDNA_4,48.06631119210,-123.58548256100,17110020000266,17110020000266,23.85,21.67,20150709,23997610,Tributary,Brook Trout,1,August,2014,1,1,1,1,1,1,0,1,1
Little River,Elwha_eDNA_5,48.06282622230,-123.57556708200,17110020000293,17110020000293,3.57,3.52,20120225,23997668,Tributary,Brook Trout,1,August,2014,0,0,0,0,0,0,0,0,0
Little River above barrier,Elwha_eDNA_6,48.03937400000,-123.50142800000,17110020000309,17110020000309,87.96,87.38,20120225,23997702,Tributary,Brook Trout,1,August,2014,0,0,0,0,0,0,0,0,0
Boulder Garden,Elwha_eDNA_7,48.03175500000,-123.59250400000,17110020000038,17110020000038,28.49,39.76,20120225,23997094,Mainstem,Brook Trout,1,August,2014,0,0,0,0,0,0,0,1,0
Hughes Creek,Elwha_eDNA_8,48.02499404940,-123.59514684700,17110020000263,17110020000263,2.50,0.90,20010416,23997600,Tributary,Brook Trout,1,August,2014,0,0,0,0,0,0,0,0,0
Griff Creek,Elwha_eDNA_9,48.01599291470,-123.59168291800,17110020000328,17110020000328,20.06,19.49,20120225,23997740,Tributary,Brook Trout,1,August,2014,0,0,0,0,0,0,0,0,0
Altair Bridge,Elwha_eDNA_10,48.01090470820,-123.59016514100,17110020000042,17110020000042,64.18,63.02,20010416,23997106,Mainstem,Brook Trout,1,August,2014,0,0,0,0,0,0,0,0,0
Elwha Road,Elwha_eDNA_1,48.14421600000,-123.56214100000,17110020006166,17110020000547,54.70,80.00,20120225,23998236,Mainstem,Brook Trout,2,September,2014,0,0,0,0,0,0,0,0,0
Bike Bridge,Elwha_eDNA_2,48.11377100000,-123.55374800000,17110020000020,17110020000020,9.29,10.35,20010416,23997046,Mainstem,Brook Trout,2,September,2014,0,0,0,0,0,0,0,0,0
Aldwell Reservoir,Elwha_eDNA_3,48.06826522130,-123.57880666100,17110020003130,17110020000025,78.46,4.79,20150105,23997064,Mainstem,Brook Trout,2,September,2014,0,0,0,0,0,0,0,0,0
Indian Creek,Elwha_eDNA_4,48.06631119210,-123.58548256100,17110020000266,17110020000266,23.85,21.67,20150709,23997610,Tributary,Brook Trout,2,September,2014,1,1,1,0,0,0,1,1,1
Boulder Garden,Elwha_eDNA_7,48.03175500000,-123.59250400000,17110020000038,17110020000038,28.49,39.76,20120225,23997094,Mainstem,Brook Trout,2,September,2014,0,0,0,0,0,0,0,0,0
Whiskey Bend,Elwha_eDNA_12,47.97308645540,-123.59235423500,17110020003136,17110020003138,86.89,30.63,20140707,23997158,Mainstem,Brook Trout,2,September,2014,0,0,0,0,0,0,0,0,0
Goblin Gates,Elwha_eDNA_14,47.95597013180,-123.57456543000,17110020000061,17110020000061,4.78,6.26,20150102,23997166,Mainstem,Brook Trout,2,September,2014,0,0,0,0,0,0,0,0,0
Dodger Point Bridge,Elwha_eDNA_15,47.94611461260,-123.54724628400,17110020000066,17110020000066,75.87,85.22,20150102,23997176,Mainstem,Brook Trout,2,September,2014,0,0,0,0,0,0,0,0,0
Lillian River,Elwha_eDNA_16,47.93771400000,-123.52127500000,17110020000101,17110020000101,15.82,15.81,20120720,23997246,Tributary,Brook Trout,2,September,2014,0,0,0,0,0,0,0,0,0
Mary's Falls,Elwha_eDNA_17,47.90437700000,-123.49104000000,17110020000069,17110020000069,88.37,85.10,20010416,23997182,Mainstem,Brook Trout,2,September,2014,0,0,0,0,0,0,0,0,0
