reach_break,UTM_easting,UTM_northing
Upstream end of ED12,458573.7715,5327163.719
Between 12OB and ED12,458484.5947,5327680.985
Downstream end of OBMO,457748.4038,5332815.109
Between AR and MB01,456972.3517,5323727.975
Between MB01 and FBMB,456362.8259,5322506.673
Between FBMB and CBFB,455926.9623,5321169.896
Between CBFB and ABCB,455568.5381,5320020.089
Between ABCB and GCAB,455591.0758,5317286.524
Upstream end of GCAB,455284.9219,5316931.883
Downstream end of MR,455110.8901,5316490.101
Between MR and LRBC,455348.5274,5314352.097
Upstream end of LRBC,455767.8203,5313521.386
Downstream end of LCUR,457051.7445,5311632.566
Between LCUR and DPLC,458121.7046,5310933.51
Upstream end of DPLC,459594.8515,5310035.236
Downstream end of CCMF,463258.5961,5305840.182
Between CCMF and SCCC,464111.083,5303698.242
Between LRSC and RCLR,464962.3737,5301325.802
Between RCLR and GRRC,464778.1673,5300554.229
Between SCCC and LRSC,464727.3155,5302121.617
Between GRRC and HRGR,464854.6367,5298311.839
Between HRGR and CCHR,466053.7516,5295015.151
Between CCHR and GCCC,465985.2937,5292826.798
Between GCCC and CCGC,465153.2828,5289722.97
Upstream end of CCGC,460297.6328,5287005.372
Between OBMO and 12OB,458766.5581,5329104.776
Downstream end of AR,458109.1874,5326782.599
