Reach_ID,Reach_Code,Reach_Name,Year,Reach_Length_km,Upstream_Reach_Boundary_rkm,Downstream_Reach_Boundary_rkm,Section,Count_Saco,Count_Onxx,Count_Onts,Count_Onmy,Fish_km_Saco,Fish_km_Onxx,Fish_km_Onts,Fish_km_Onmy,JONTS,JONKI,JONXX
1,CCGC,Chicago Camp to Godkin Cr,2007,7.531,68.626376,60.823847,Upper Elwha,35,350,0,0,4.647457177,46.47457177,0,0,NA,NA,NA
2,GCCC,Godkin Cr to Carlson Canyon,2007,3.983,60.823847,56.762865,Upper Elwha,19,529,0,0,4.770273663,132.8144615,0,0,NA,NA,NA
4,HRGR,Hayes River to Goldie River,2007,4.491,53.598804,49.429491,Upper Elwha,7,510,0,0,1.558672901,113.5604542,0,0,NA,NA,NA
5,GRRC,Goldie River to Remann's Cabin,2007,2.375,49.429491,46.700663,Upper Elwha,1,92,0,0,0.421052632,38.73684211,0,0,NA,NA,NA
6,RCLR,Remann's Cabin to Lost River,2007,0.792,46.700663,45.847487,Upper Elwha,1,88,0,0,1.262626263,111.1111111,0,0,NA,NA,NA
7,LRSC,Lost River to Stony Creek,2007,1.039,45.847487,44.80136,Upper Elwha,6,116,0,0,5.774783446,111.6458133,0,0,NA,NA,NA
8,SCCC,Stony Cr to Canyon Camp,2007,1.925,44.80136,42.733767,Upper Elwha,3,244,0,0,1.558441558,126.7532468,0,0,NA,NA,NA
9,CCMF,Canyon Camp to Mary's Falls,2007,2.491,42.733767,39.929034,Upper Elwha,4,214,0,0,1.605780811,85.90927338,0,0,NA,NA,NA
10,DPLC,Dodger Pt to Long Cr,2007,2.304,33.23599,31.150316,Upper Elwha,3,446,0,0,1.302083333,193.5763889,0,0,NA,NA,NA
11,LCUR,Long Cr to Upper Rica,2007,1.69,31.150316,29.555643,Upper Elwha,0,184,0,0,0,108.8757396,0,0,NA,NA,NA
12,LRBC,Lower Rica to Boulder Cr,2007,1.284,26.92866,25.929518,Upper Elwha,38,34,0,0,29.59501558,26.47975078,0,0,NA,NA,NA
14,GCAB,Glines Canyon to Altaire Bridge,2007,0.69,23.037444,22.311182,Middle Elwha,34,281,0,0,49.27536232,407.2463768,0,0,NA,NA,NA
15,ABCB,Altaire Bridge to Cottonwood Bend,2007,3.748,22.311182,18.238462,Middle Elwha,8,698,0,0,2.134471718,186.2326574,0,0,NA,NA,NA
16,CBFB,Cottonwood Bend to Fee Booth,2007,1.213,18.238462,16.925104,Middle Elwha,4,211,0,0,3.297609233,173.9488871,0,0,NA,NA,NA
17,FBMB,Fee Booth to McDonald Bridge,2007,1.661,16.925104,15.430681,Middle Elwha,1,179,0,0,0.60204696,107.7664058,0,0,NA,NA,NA
18,MB01,McDonald Bridge to HWY 101,2007,1.406,15.430681,13.818106,Middle Elwha,5,306,0,0,3.556187767,217.6386913,0,0,NA,NA,NA
20,ED12,Elwha Dam to HWY 112,2007,0.559,8.408566,7.835363,Lower Elwha,1,84,0,0,1.788908766,150.2683363,0,0,NA,NA,NA
21,12OB,HWY 112 to One Lane Bridge,2007,1.988,7.835363,5.827309,Lower Elwha,3,322,8,0,1.509054326,161.971831,4.024144869,0,NA,NA,NA
22,OBMO,One Lane Bridge to Mouth,2007,7.165,5.827309,0.180467,Lower Elwha,4,1330,540,0,0.558269365,185.6245639,75.36636427,0,NA,NA,NA
1,CCGC,Chicago Camp to Godkin Cr,2008,7.549,68.626376,60.823847,Upper Elwha,17,47,0,0,2.251953901,6.225990197,0,0,NA,NA,NA
2,GCCC,Godkin Cr to Carlson Canyon,2008,4.643,60.823847,56.762865,Upper Elwha,3,35,0,0,0.646133965,7.538229593,0,0,NA,NA,NA
4,HRGR,Hayes River to Goldie River,2008,3.896,53.598804,49.429491,Upper Elwha,4,197,0,0,1.026694045,50.56468172,0,0,NA,NA,NA
