Date,Dam condition,Year,Season,Fish,Sampling event,Replicate,Acari - larva,Acari - terrestrial unknown,Amphipoda - unknown,Corophium - varies,Gammarus - unknown,Araneae - unknown,Basommatophora - varies,Lymnaeidae - immature,Physidae - unknown,Planorbidae - unknown,Cladocera - unknown,Agabini - larva,Anobiidae - adult,Cantharidae - adult,Cerambycidae - adult,Coccinellidae - adult,Coleoptera - terrestrial adult,Coleoptera - terrestrial larva,Curculionidae - terrestrial adult,Dytiscidae - adult,Dytiscidae - larva,Haliplus - larva,Hydroporinae - larva,Malthodes - adult,Oreodytes - larva,Scolytinae - adult,Staphylinidae - adult,Stictotarsus - adult,Throscidae - adult,Collembola - nymph,Entomobryomorpha - unknown,Isotomidae - unknown,Sminthuridae - unknown,Cyclopoida - adult,Dermaptera - indeterminate,Forficula auriculata - adult,Diplopoda - unknown,Anthomyiidae - adult,Anthomyiidae - larva,Asteiidae - adult,Bezzia - larva,Ceratopogonidae - adult,Ceratopogonidae - larva,Ceratopogonidae - pupa,Ceratopogoninae - larva,Chaoboridae - larva,Chelifera - larva,Chironomidae - adult,Chironomidae - larva,Chironomidae - pharate adult,Chironomidae - pupa,Chironomini - adult,Chironomini - larva,Chrysops - larva,Coelopidae - adult,Diptera - adult,Diptera - larva,Diptera - pupa,Dixa - larva,Dixella - larva,Dixidae - pupa,Dolichopodidae - adult,Dolichopodidae - larva,Drosophilidae - adult,Empididae - adult,Empididae - larva,Empididae - pupa,Empidoidea - adult,Ephydridae - adult,Ephydridae - larva,Ephydridae - pupa,Forcipomyiinae - larva,Heleomyzidae - adult,Hilara - adult,Metachela - adult,Muscidae - adult,Muscidae - larva,Muscomorpha - adult,Muscomorpha - larva,Muscomorpha - pupa,Nematocera - adult,Nematocera - pupa,Opomyzidae - adult,Ormosia - larva,Orthocladiinae sp. (RAI Taxon # 0011) - larva,Orthocladiinae sp. (RAI Taxon # 0011) - pupa,Phoridae - adult,Platypalpus - adult,Prosimulium - larva,Rhagionidae - adult,Schizophora - adult,Sciaridae - adult,Simulium - larva,Sphaeroceridae - adult,Syrphidae - adult,Tabanidae - larva,Tanypodinae - larva,Tanytarsini - larva,Tephritidae - adult,Tipulidae - adult,Tipulidae - larva,Tipulidae - pupa,Acentrella - naiad,Baetidae - naiad,Baetis - naiad,Cinygmula - naiad,Ephemeroptera - naiad,Heptageniidae - naiad,Siphlonurus - naiad,Gasterosteidae - juvenile,Gastropoda - terrestrial unknown,Geophilomorpha - unknown,Aphidoidea - adult,Aphidoidea - nymph,Auchenorrhyncha - adult,Auchenorrhyncha - indeterminate,Cercopidae - adult,Cicadellidae - adult,Cicadellidae - nymph,Coccoidea - nymph,Corixidae - adult,Corixidae - nymph,Delphacidae - adult,Gerridae - adult,Hemiptera - terrestrial larva,Lygaeidae - adult,Miridae - adult,Psylloidea - adult,Psylloidea - nymph,Reduviidae - adult,Salda - adult,Saldidae - adult,Heteroptera - adult,Heteroptera - nymph,Hirudinea - unknown,Braconidae - adult,Chalcidoidea - adult,Diapriidae - adult,Dryinidae - adult,Formicidae - adult,Hymenoptera - adult,Ichneumonidae - adult,Megaspilidae - adult,Mymaridae - adult,Platygastridae - adult,Proctotrupidae - adult,Pteromalidae - adult,Insecta - varies,Isopoda - immature,Geometridae - larva,Lasiocampidae - larva,Lepidoptera - adult,Lepidoptera - larva,Sialis - larva,Microlepidoptera - larva,Microlepidoptera - pupa,Mysida - varies,Nematoda - unknown,Chrysopidae - larva,Chrysopidae/Hemerobiidae - larva,Neuroptera - terrestrial larva,Coenagrionidae - adult,Engallagma - naiad,Ischnura - naiad,Odonata - naiad,Oligochaeta - unknown,Osteichthyes - egg,Osteichthyes - fry,Osteichthyes - unknown,Ostracoda - unknown,Chloroperlidae - naiad,Plumiperla diversa - adult,Sweltsa - naiad,Psocoptera - adult,Psocoptera - nymph,Phlaeothripidae - adult,Thripidae - adult,Glossosomatidae - pupa,Hydropsychidae - pupa,Hydroptila - larva,Hydroptilidae - adult,Hydroptilidae - larva,Hydroptilidae - pupa,Integripalpia - larva,Lepidostoma - larva,Leptoceridae - larva,Limnephilidae - adult,Limnephilidae - larva,Ochrotrichia - larva,Rhyacophila - larva,Trichoptera - adult,Trichoptera - larva,Trichoptera - pupa
5/11/06,Before,2006,Spring,Chinook,1,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/11/06,Before,2006,Spring,Chinook,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/11/06,Before,2006,Spring,Chinook,1,20,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/11/06,Before,2006,Spring,Chinook,1,21,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/11/06,Before,2006,Spring,Chinook,1,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/26/06,Before,2006,Spring,Chinook,2,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/26/06,Before,2006,Spring,Chinook,2,27,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/26/06,Before,2006,Spring,Chinook,2,28,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/26/06,Before,2006,Spring,Chinook,2,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5/26/06,Before,2006,Spring,Chinook,2,30,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
