Live/Dead,Fish ID,Tank,Length (mm),Weight (g)
Live,1,1,118,31.1
Live,2,1,117,27.3
Live,3,1,116,32.2
Live,4,1,135,22.8
Live,5,1,121,22.2
Live,6,2,119,24.3
Live,7,2,118,23.1
Live,8,2,121,16.3
Live,9,2,127,27.4
Live,10,2,137,30.1
Live,11,3,136,31.2
Live,12,3,95,15.7
Live,13,3,130,30.2
Live,14,3,116,19.6
Live,15,3,132,28.3
Live,16,4,129,26.9
Live,17,4,119,23
Live,18,4,118,21.2
Live,19,4,119,22.2
Live,20,4,127,24.4
Live,21,5,137,34.2
Live,22,5,145,37.4
Live,23,5,115,19.3
Live,24,5,126,23.2
Live,25,5,129,29.4
Live,26,6,124,24.7
Live,27,6,137,33.4
Live,28,6,135,27.5
Live,29,6,126,27
Live,30,6,112,22.1
Dead,31,7,137,31.8
Dead,32,7,115,16.7
Dead,33,7,129,28
Dead,34,7,139,33.9
Dead,35,7,139,30.4
Dead,36,8,130,26.8
Dead,37,8,131,28.3
Dead,38,8,104,18.2
Dead,39,8,122,20.1
Dead,40,8,135,29.7
Dead,41,9,134,32.2
Dead,42,9,132,29
Dead,43,9,154,44.2
Dead,44,9,116,20.3
Dead,45,9,118,20.8
Dead,46,10,137,32.3
Dead,47,10,135,27.1
Dead,48,10,138,32.5
Dead,49,10,128,20.7
Dead,50,10,113,17.6
Dead,51,11,95,16.1
Dead,52,11,132,27.2
Dead,53,11,139,35.4
Dead,54,11,128,24.5
Dead,55,11,114,22
Dead,56,12,122,22.6
Dead,57,12,117,19.7
Dead,58,12,130,27.4
Dead,59,12,124,26.3
Dead,60,12,110,17.7
